words,sentiment
సౌకర్యం,positive
దురాశ, negative
చక్కని, neutral
ఆనందం, positive
దుఃఖం, negative
ఉత్తమమైన, positive
మంచి, positive
సంతోషం, positive
నిజంగా, neutral
తక్కువ, negative
భయం, negative
అంతకుముందు, neutral
గోవు, neutral
వెంటనే, negative
చాలా, neutral
ఆనందపరచబడిన, positive
గోపురానికి, neutral
ప్రజలు, neutral
కాదు, negative
మాయంగా, negative
కోపం, negative
వెంటనే, negative
అవసరం, neutral
అవసరములో, neutral
గడిచిపెట్టాడు, negative
కనిపిస్తోంది, positive
పలువురుచుకున్నాడు, positive
నాలుగు, neutral
కడగం, negative
చాలా, neutral
కష్టపడి, negative
ఆనందంగా, positive
చక్కగా, positive
చాలా, neutral
చక్కగా, positive
పడిపోయింది, negative
వచ్చింది, positive
చాలా, neutral
గొప్ప, positive
కారణం, neutral
సంతోషం, positive
కనిపించింది, positive
బాధితులు, negative
చాలా, neutral
వంటి, neutral
మెరుగైన, positive
రూపం, neutral
అతను, neutral
గోపురం, neutral
నీతిని, neutral
తప్పుడు, negative
ప్రేమతో, positive
ఉన్నాయి, positive
కాని, neutral
అందుకున్నాను, positive
తప్పింది, negative
ప్రేమ, positive
అదే, neutral
సంతోషం, positive
నిజంగా, neutral
అవసరం, neutral
మరియు, neutral
క్షమించడం, positive
సిద్ధం, neutral
చాలా, neutral
త్వరగా, negative
సరిగా, positive
తప్పించాడు, negative
మంచి, positive
ఆశలు, neutral
నిజంగా, neutral
ఆనందించడం, positive
సరే, neutral
అంతకుముందు, neutral
నిరీక్షణ, neutral
స్వీకరించిన, positive
వచ్చిన, positive
మరియు, neutral
తన, neutral
తప్పించిన, negative
కోరుకుంటున్నారు, negative
నేను, neutral
మీకు, neutral
ప్రశంసించడం, positive
సరిగా, positive
వచ్చాడు, positive
కొనసాగాను, negative
దుఃఖం, negative
చక్కని, neutral
చక్కగా, positive
అంతకుముందు, neutral
ఆనందం, positive
అనుకూలంగా, positive
వచ్చారు, positive
అదే, neutral
కారణం, neutral
వచ్చారు, positive
మరియు, neutral
వచ్చింది, positive
అనుకూలంగా, positive
ఆనందించాడు, positive
చాలా, neutral
చక్కగా, positive
సరిగా, positive
తప్పించడం, negative
మరియు, neutral
వచ్చిన, positive
మీరు, neutral
పట్టుకున్నారు, positive
కానీ, neutral
పోయింది, negative
వాటిని, neutral
మీరు, neutral
మేరకు, positive
మీ, neutral
ప్రేమిస్తున్నారు, positive
మరియు, neutral
పరీక్షించారు, negative
అదే, neutral
వచ్చింది, positive
సరిగా, positive
సమాధానం, positive
ఉంది, positive
ఆనందంగా, positive
అందుబాటులో, positive
క్రియాశీలం, positive
సమాధానం, positive
వాటిని, neutral
పట్టించడం, positive
అనుకూలంగా, positive
కావడం, positive
సమాధానం, positive
మరియు, neutral
చేసిన, positive
సమాధానం, positive
ప్రయత్నించిన, positive
చివరి, positive
సమాధానం, positive
వచ్చింది, positive
మరియు, neutral
మంచి, positive
సమాధానం, positive
వాడు, neutral
ఆనందించాడు, positive
కనుగొని, positive
ప్రయత్నించాడు, positive
చివరి, positive
విజయం, positive
పొందింది, positive
సరిగా, positive
వచ్చింది, positive
మరియు, neutral
మంచి, positive
రాజీనామా, negative
చేసింది, negative
ఆలోచించిన, neutral
విజయం, positive
అది, neutral
ఒక, neutral
వ్యాక్సిన్, positive
అది, neutral
అనుకూలంగా, positive
ఆయన, neutral
పనిచేసినట్టుగా, positive
చేసింది, positive
ఆయన, neutral
ప్రేమిస్తున్నాడు, positive
మరియు, neutral
ప్రయత్నించింది, positive
వాటిని, neutral
ఉపయోగించారు, positive
మరియు, neutral
విజయం, positive
పొందాడు, positive
కనిపిస్తుంది, positive
ప్రేమిస్తున్నారు, positive
మరియు, neutral
తప్పించిన, negative
మరియు, neutral
విజయం, positive
పొందింది, positive
వారి, neutral
ఉత్తమ, positive
సమయం, neutral
ప్రారంభించారు, positive
మరియు, neutral
అది, neutral
ఆగింది, positive
మరియు, neutral
మానుషులు, neutral
అన్ని, neutral
